Username       CU_Absance  BB_Absance  CU_Absance%  BB_Absance%  C_CU_Absance%  CU_Status  C_BB_Absance%  BB_Status
pd4037567      7             5              53.85        38.46        16.67          Warning    11.9           OK
id4035504      8             11             61.54        84.62        19.05          Warning    26.19          Dismissed
pd4039515      0             0              0.0          0.0          0.0            OK         0.0            OK
pd4137349      4             1              30.77        7.69         9.52           OK         2.38           OK
dd4135406      1             0              7.69         0.0          2.38           OK         0.0            OK
vd4130995      2             2              15.38        15.38        4.76           OK         4.76           OK
pd4034697      3             3              23.08        23.08        7.14           OK         7.14           OK
dd4038512      1             5              7.69         38.46        2.38           OK         11.9           OK
pd4943963      5             2              38.46        15.38        11.9           OK         4.76           OK
pd4032315      4             5              30.77        38.46        9.52           OK         11.9           OK
bd4134214      2             0              15.38        0.0          4.76           OK         0.0            OK
ud4844155      4             3              30.77        23.08        9.52           OK         7.14           OK
qd4937771      2             1              15.38        7.69         4.76           OK         2.38           OK
pp4231214      1             2              7.69         15.38        2.38           OK         4.76           OK
le4035217      3             0              23.08        0.0          7.14           OK         0.0            OK
uf4943308      2             2              15.38        15.38        4.76           OK         4.76           OK
pg4847363      2             2              15.38        15.38        4.76           OK         4.76           OK
vh4037572      7             1              53.85        7.69         16.67          Warning    2.38           OK
dk4139219      3             3              23.08        23.08        7.14           OK         7.14           OK
dl4131651      4             5              30.77        38.46        9.52           OK         11.9           OK
ql4932921      5             2              38.46        15.38        11.9           OK         4.76           OK
dn4138235      1             1              7.69         7.69         2.38           OK         2.38           OK
dn4232885      4             4              30.77        30.77        9.52           OK         9.52           OK
dp4243232      2             1              15.38        7.69         4.76           OK         2.38           OK
pp4931424      0             0              0.0          0.0          0.0            OK         0.0            OK
rp4531436      2             2              15.38        15.38        4.76           OK         4.76           OK
ws4236779      1             2              7.69         15.38        2.38           OK         4.76           OK
bt4034812      1             2              7.69         15.38        2.38           OK         4.76           OK
ev4136307      0             0              0.0          0.0          0.0            OK         0.0            OK
pv4135009      5             2              38.46        15.38        11.9           OK         4.76           OK
dv4135517      0             0              0.0          0.0          0.0            OK         0.0            OK
pb4932040      7             3              53.85        23.08        16.67          Warning    7.14           OK
vc4031009      2             2              15.38        15.38        4.76           OK         4.76           OK
