Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,prkg.vdohk,Moderator,Integration,9/12/2021 8:55,9/12/2021 9:58,1:03:15,2
,kd4133686,Participant,Integration,9/12/2021 8:58,9/12/2021 9:58,0:59:51,2
,dh4133165,Participant,Integration,9/12/2021 8:58,9/12/2021 9:58,0:59:47,1
,qd4133786,Participant,Integration,9/12/2021 8:59,9/12/2021 9:59,0:59:39,1
,kh4138456,Participant,Integration,9/12/2021 9:00,9/12/2021 9:58,0:48:39,2
,uq4039461,Participant,Integration,9/12/2021 9:00,9/12/2021 9:59,0:59:21,1
,dw4135370,Participant,Integration,9/12/2021 9:00,9/12/2021 9:58,0:57:26,2
,pd4133939,Participant,Integration,9/12/2021 9:00,9/12/2021 9:58,0:57:49,1
,qd4034774,Participant,Integration,9/12/2021 9:01,9/12/2021 9:58,0:57:29,1
,kd4737194,Participant,Integration,9/12/2021 9:01,9/12/2021 9:58,0:56:41,1
,kk4932927,Participant,Integration,9/12/2021 9:02,9/12/2021 9:58,0:56:11,1
,pd4134037,Participant,Integration,9/12/2021 9:02,9/12/2021 9:58,0:55:47,1
,id4843046,Participant,Integration,9/12/2021 9:03,9/12/2021 9:59,0:55:53,2
,ip4037776,Participant,Integration,9/12/2021 9:03,9/12/2021 9:58,0:54:48,3
,id4034975,Participant,Integration,9/12/2021 9:03,9/12/2021 9:58,0:55:16,1
,pk4133115,Participant,Integration,9/12/2021 9:03,9/12/2021 9:58,0:55:01,1
,qd4034669,Participant,Integration,9/12/2021 9:04,9/12/2021 9:58,0:54:06,1
,uh4034202,Participant,Integration,9/12/2021 9:04,9/12/2021 9:44,0:32:52,3
,dd4133816,Participant,Integration,9/12/2021 9:04,9/12/2021 9:58,0:51:19,2
,pd4134894,Participant,Integration,9/12/2021 9:07,9/12/2021 9:58,0:51:43,1
,id4035381,Participant,Integration,9/12/2021 9:07,9/12/2021 9:58,0:51:06,1
,vd4136613,Participant,Integration,9/12/2021 9:10,9/12/2021 9:58,0:48:11,1
,od4133911,Participant,Integration,9/12/2021 9:13,9/12/2021 9:58,0:42:29,5
,pd4034674,Participant,Integration,9/12/2021 9:14,9/12/2021 10:00,0:24:35,3
,gk4133101,Participant,Integration,9/12/2021 9:25,9/12/2021 9:58,0:33:07,1
,ph4136791,Participant,Integration,9/12/2021 9:30,9/12/2021 9:58,0:28:18,1
