Name,Username,Student Id,Email,Aug 15 (2021-08-15 09:48:45),Aug 17 (2021-08-17 09:51:12),Aug 19 (2021-08-19 09:55:43),Aug 22 (2021-08-22 09:54:03),Aug 24 (2021-08-24 09:56:54),Aug 26 (2021-08-26 09:51:33),Aug 29 (2021-08-29 09:52:11),Aug 31 (2021-08-31 09:48:20),Sep 02 (2021-09-02 09:50:29),Sep 05 (2021-09-05 09:53:55),Sep 09 (2021-09-09 09:53:55),Sep 12 (2021-09-12 09:57:53),Sep 14 (2021-09-14 09:52:36),Sep 16 (2021-09-16 09:51:47),Points,# of Absence,Percent Attended
,qd4037796,,,Absent,Absent,Absent,Absent,Present (Checked In: 2021-08-24 09:57:22),Present (Checked In: 2021-08-26 09:52:05),Present (Checked In: 2021-08-29 09:52:47),Present (Checked In: 2021-08-31 09:48:52),Present (Checked In: 2021-09-02 09:51:03),Present (Checked In: 2021-09-05 09:54:34),Present (Checked In: 2021-09-09 09:54:43),Absent,Present (Checked In: 2021-09-14 09:53:05),Present (Checked In: 2021-09-16 09:52:27),9,5,64.29
,qd4133786,,,Present (Checked In: 2021-08-15 09:49:28),Present (Checked In: 2021-08-17 09:51:33),Present (Checked In: 2021-08-19 09:56:06),Present (Checked In: 2021-08-22 09:54:17),Present (Checked In: 2021-08-24 09:57:26),Present (Checked In: 2021-08-26 09:51:47),Present (Checked In: 2021-08-29 09:52:39),Present (Checked In: 2021-08-31 09:48:49),Present (Checked In: 2021-09-02 09:50:56),Present (Checked In: 2021-09-05 09:54:32),Present (Checked In: 2021-09-09 09:54:18),Present (Checked In: 2021-09-12 09:58:38),Present (Checked In: 2021-09-14 09:52:51),Present (Checked In: 2021-09-16 09:52:22),14,,100
,qd4034669,,,Present (Checked In: 2021-08-15 09:49:50),Present (Checked In: 2021-08-17 09:51:42),Present (Checked In: 2021-08-19 09:56:03),Present (Checked In: 2021-08-22 09:54:29),Present (Checked In: 2021-08-24 09:57:21),Present (Checked In: 2021-08-26 09:51:51),Present (Checked In: 2021-08-29 09:52:31),Absent,Present (Checked In: 2021-09-02 09:51:51),Present (Checked In: 2021-09-05 09:54:30),Present (Checked In: 2021-09-09 09:54:17),Present (Checked In: 2021-09-12 09:58:20),Present (Checked In: 2021-09-14 09:52:56),Present (Checked In: 2021-09-16 09:52:01),13,1,92.86
,vd4136613,,,Absent,Present (Checked In: 2021-08-17 09:51:26),Present (Checked In: 2021-08-19 09:56:08),Present (Checked In: 2021-08-22 09:54:35),Present (Checked In: 2021-08-24 09:57:25),Present (Checked In: 2021-08-26 09:52:05),Present (Checked In: 2021-08-29 09:52:40),Present (Checked In: 2021-08-31 09:48:39),Present (Checked In: 2021-09-02 09:51:26),Present (Checked In: 2021-09-05 09:54:13),Absent,Present (Checked In: 2021-09-12 09:58:26),Present (Checked In: 2021-09-14 09:53:03),Present (Checked In: 2021-09-16 09:53:47),12,2,85.71
,pd4034674,,,Present (Checked In: 2021-08-15 09:50:35),Present (Checked In: 2021-08-17 09:51:25),Present (Checked In: 2021-08-19 09:56:03),Absent,Present (Checked In: 2021-08-24 09:57:14),Absent,Present (Checked In: 2021-08-29 09:52:26),Absent,Absent,Present (Checked In: 2021-09-05 09:54:25),Absent,Present (Checked In: 2021-09-12 09:58:39),Present (Checked In: 2021-09-14 09:52:57),Present (Checked In: 2021-09-16 09:52:26),9,5,64.29
,id4034975,,,Present (Checked In: 2021-08-15 09:49:01),Present (Checked In: 2021-08-17 09:51:30),Present (Checked In: 2021-08-19 09:56:11),Present (Checked In: 2021-08-22 09:54:16),Present (Checked In: 2021-08-24 09:57:06),Present (Checked In: 2021-08-26 09:52:39),Present (Checked In: 2021-08-29 09:52:31),Present (Checked In: 2021-08-31 09:48:47),Present (Checked In: 2021-09-02 09:51:05),Present (Checked In: 2021-09-05 09:54:31),Present (Checked In: 2021-09-09 09:55:18),Present (Checked In: 2021-09-12 09:58:41),Present (Checked In: 2021-09-14 09:53:20),Present (Checked In: 2021-09-16 09:52:33),14,,100
,pd4133901,,,,Present (Checked In: 2021-08-17 09:51:56),Present (Checked In: 2021-08-19 09:55:57),Present (Checked In: 2021-08-22 09:54:33),Present (Checked In: 2021-08-24 09:57:09),Present (Checked In: 2021-08-26 09:51:57),Absent,Absent,Present (Checked In: 2021-09-02 09:51:00),Present (Checked In: 2021-09-05 09:54:11),Present (Checked In: 2021-09-09 09:54:10),Present (Checked In: 2021-09-12 09:58:43),Present (Checked In: 2021-09-14 09:52:54),Present (Checked In: 2021-09-16 09:52:03),11,2,84.62
,qd4034774,,,Present (Checked In: 2021-08-15 09:49:03),Present (Checked In: 2021-08-17 09:51:30),Present (Checked In: 2021-08-19 09:55:58),Absent,Present (Checked In: 2021-08-24 09:57:05),Present (Checked In: 2021-08-26 09:51:49),Present (Checked In: 2021-08-29 09:52:29),Present (Checked In: 2021-08-31 09:48:41),Present (Checked In: 2021-09-02 09:50:43),Present (Checked In: 2021-09-05 09:54:11),Present (Checked In: 2021-09-09 09:54:13),Present (Checked In: 2021-09-12 09:58:31),Present (Checked In: 2021-09-14 09:53:26),Present (Checked In: 2021-09-16 09:52:47),13,1,92.86
,id4035381,,,Present (Checked In: 2021-08-15 09:49:04),Present (Checked In: 2021-08-17 09:51:31),Present (Checked In: 2021-08-19 09:55:58),Present (Checked In: 2021-08-22 09:54:18),Present (Checked In: 2021-08-24 09:57:05),Present (Checked In: 2021-08-26 09:51:51),Present (Checked In: 2021-08-29 09:52:28),Present (Checked In: 2021-08-31 09:48:42),Present (Checked In: 2021-09-02 09:50:54),Present (Checked In: 2021-09-05 09:54:37),Present (Checked In: 2021-09-09 09:54:22),Present (Checked In: 2021-09-12 09:58:30),Present (Checked In: 2021-09-14 09:53:40),Present (Checked In: 2021-09-16 09:52:37),14,,100
,id4843046,,,,Present (Checked In: 2021-08-17 09:51:31),Present (Checked In: 2021-08-19 09:57:07),Present (Checked In: 2021-08-22 09:55:33),Present (Checked In: 2021-08-24 09:57:04),Present (Checked In: 2021-08-26 09:51:51),Present (Checked In: 2021-08-29 09:52:25),Present (Checked In: 2021-08-31 09:49:01),Present (Checked In: 2021-09-02 09:50:59),Absent,Absent,Present (Checked In: 2021-09-12 09:58:48),Absent,Present (Checked In: 2021-09-16 09:52:18),10,3,76.92
