Username       CU_Absance  BB_Absance  CU_Absance%  BB_Absance%  C_CU_Absance%  CU_Status  C_BB_Absance%  BB_Status
id5330394      4             0              44.44        0.0          14.29          OK         0.0            OK
vd4537084      4             2              44.44        22.22        14.29          OK         7.14           OK
ed5334189      3             2              33.33        22.22        10.71          OK         7.14           OK
od4234676      5             1              55.56        11.11        17.86          Warning    3.57           OK
pd5335375      5             1              55.56        11.11        17.86          Warning    3.57           OK
dd4234734      3             3              33.33        33.33        10.71          OK         10.71          OK
id5339207      2             4              22.22        44.44        7.14           OK         14.29          OK
id4938300      5             4              55.56        44.44        17.86          Warning    14.29          OK
vd4235018      5             4              55.56        44.44        17.86          Warning    14.29          OK
kd4235184      8             0              88.89        0.0          28.57          Dismissed  0.0            OK
dd5435233      2             5              22.22        55.56        7.14           OK         17.86          Warning
id4244024      6             0              66.67        0.0          21.43          Warning    0.0            OK
pd4234138      2             1              22.22        11.11        7.14           OK         3.57           OK
id5430444      3             5              33.33        55.56        10.71          OK         17.86          Warning
dd4034114      9             1              100.0        11.11        32.14          Dismissed  3.57           OK
qd4135575      5             1              55.56        11.11        17.86          Warning    3.57           OK
vd4234931      3             5              33.33        55.56        10.71          OK         17.86          Warning
pd5335099      6             1              66.67        11.11        21.43          Warning    3.57           OK
gd5335688      5             0              55.56        0.0          17.86          Warning    0.0            OK
pd5335091      2             4              22.22        44.44        7.14           OK         14.29          OK
id4133064      6             0              66.67        0.0          21.43          Warning    0.0            OK
dd5334817      2             0              22.22        0.0          7.14           OK         0.0            OK
kd4235891      3             5              33.33        55.56        10.71          OK         17.86          Warning
dd5335305      2             0              22.22        0.0          7.14           OK         0.0            OK
id5435288      3             0              33.33        0.0          10.71          OK         0.0            OK
dd4131358      2             2              22.22        22.22        7.14           OK         7.14           OK
id5334096      2             3              22.22        33.33        7.14           OK         10.71          OK
nd5436650      2             1              22.22        11.11        7.14           OK         3.57           OK
di5330426      2             1              22.22        11.11        7.14           OK         3.57           OK
vk5430691      2             0              22.22        0.0          7.14           OK         0.0            OK
ik5339247      2             0              22.22        0.0          7.14           OK         0.0            OK
um4238691      4             2              44.44        22.22        14.29          OK         7.14           OK
qn5337354      2             0              22.22        0.0          7.14           OK         0.0            OK
op4235616      5             2              55.56        22.22        17.86          Warning    7.14           OK
uq5439096      2             0              22.22        0.0          7.14           OK         0.0            OK
vv5337185      3             0              33.33        0.0          10.71          OK         0.0            OK
uv5437419      2             1              22.22        11.11        7.14           OK         3.57           OK
