Name,Username,Role,AttendeeType,First join,Last leave,Total time,Joins
,qn5337354,Participant,Integration,9/8/2021 9:18,9/8/2021 10:53,1:34:52,1
,prkg.vdohk,Moderator,Integration,9/8/2021 9:20,9/8/2021 10:53,1:32:35,1
,pd5335091,Participant,Integration,9/8/2021 9:21,9/8/2021 10:53,1:32:00,1
,dd4131358,Participant,Integration,9/8/2021 9:22,9/8/2021 10:57,1:34:41,1
,id5430444,Participant,Integration,9/8/2021 9:23,9/8/2021 10:53,1:30:15,1
,uv5437419,Participant,Integration,9/8/2021 9:26,9/8/2021 10:53,1:26:57,1
,nd5436650,Participant,Integration,9/8/2021 9:27,9/8/2021 10:53,1:25:51,1
,pd5335099,Participant,Integration,9/8/2021 9:27,9/8/2021 10:52,1:24:57,1
,ed5334189,Participant,Integration,9/8/2021 9:28,9/8/2021 10:52,1:23:53,2
,id5334096,Participant,Integration,9/8/2021 9:29,9/8/2021 10:52,1:23:04,1
,id5330394,Participant,Integration,9/8/2021 9:29,9/8/2021 10:53,1:23:06,2
,dd5335305,Participant,Integration,9/8/2021 9:30,9/8/2021 10:52,1:21:43,1
,pd4234138,Participant,Integration,9/8/2021 9:31,9/8/2021 10:52,1:20:34,2
,id5339207,Participant,Integration,9/8/2021 9:31,9/8/2021 10:52,1:20:58,1
,di5330426,Participant,Integration,9/8/2021 9:31,9/8/2021 10:53,1:22:01,1
,vk5430691,Participant,Integration,9/8/2021 9:31,9/8/2021 10:53,1:21:17,2
,uq5439096,Participant,Integration,9/8/2021 9:31,9/8/2021 10:52,1:21:10,1
,vd4537084,Participant,Integration,9/8/2021 9:32,9/8/2021 10:53,1:20:51,1
,um4238691,Participant,Integration,9/8/2021 9:32,9/8/2021 10:53,1:20:32,1
,gd5335688,Participant,Integration,9/8/2021 9:32,9/8/2021 10:53,1:16:44,5
,ik5339247,Participant,Integration,9/8/2021 9:32,9/8/2021 10:51,1:18:54,1
,dd5334817,Participant,Integration,9/8/2021 9:33,9/8/2021 10:52,1:18:21,3
,vd4235018,Participant,Integration,9/8/2021 9:34,9/8/2021 10:53,1:19:18,1
,vv5337185,Participant,Integration,9/8/2021 9:34,9/8/2021 10:53,1:18:58,1
,kd4235891,Participant,Integration,9/8/2021 9:35,9/8/2021 10:52,1:16:05,3
,dd5435233,Participant,Integration,9/8/2021 9:36,9/8/2021 10:53,1:16:35,1
,qd4135575,Participant,Integration,9/8/2021 9:37,9/8/2021 10:53,1:13:30,4
,dd4234734,Participant,Integration,9/8/2021 9:38,9/8/2021 10:53,1:14:34,1
,id4133064,Participant,Integration,9/8/2021 9:39,9/8/2021 10:53,1:13:05,3
,op4235616,Participant,Integration,9/8/2021 9:49,9/8/2021 11:03,1:13:37,1
,od4234676,Participant,Integration,9/8/2021 10:05,9/8/2021 10:53,0:48:03,2
